metric	release	counting_unit	reported	reproduced	difference	status
Total	2024-06/v2	ligand annotation rows	649915	1357906	707991	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-06/v2	unique system_id	649915	990260	340345	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-06/v2	unique system_id_no_biounit	649915	766671	116756	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-06/v2	proper-ligand rows	649915	616723	-33192	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-06/v2	systems containing a proper ligand	649915	484562	-165353	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Ion	2024-06/v2	ligand annotation rows	22728	645208	622480	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Ion	2024-06/v2	unique systems with system_ligand_has_ion	22728	566285	543557	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Artifact	2024-06/v2	ligand annotation rows	18626	95975	77349	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Artifact	2024-06/v2	unique systems with system_ligand_has_artifact	18626	58880	40254	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-04/v1	ligand annotation rows	649915	1726144	1076229	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-04/v1	unique system_id	649915	1344214	694299	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Total	2024-04/v1	non-ion/non-artifact systems	649915	452985	-196930	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Ion	2024-04/v1	ligand annotation rows	22728	431165	408437	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Ion	2024-04/v1	unique systems containing ion	22728	377847	355119	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Artifact	2024-04/v1	ligand annotation rows	18626	722736	704110	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
Artifact	2024-04/v1	unique systems containing artifact	18626	631140	612514	BLOCKED_PLINDER_CLASSIFICATION_MISMATCH
