dataset	formal_N	metric	entries	percent_of_formal_N	taxonomy_version
PDBbind	19443	monoatomic_ion_entries	0	0.0	comparison_ligand_taxonomy_v1
PDBbind	19443	simple_inorganic_entries	9	0.046289152908501774	comparison_ligand_taxonomy_v1
PDBbind	19443	shared_artifact_list_entries	190	0.977215450290593	comparison_ligand_taxonomy_v1
HiQBind	31572	monoatomic_ion_entries	0	0.0	comparison_ligand_taxonomy_v1
HiQBind	31572	simple_inorganic_entries	18	0.05701254275940707	comparison_ligand_taxonomy_v1
HiQBind	31572	shared_artifact_list_entries	341	1.0800709489421005	comparison_ligand_taxonomy_v1
BioLiP2	548615	monoatomic_ion_entries	1258	0.2293047036628601	comparison_ligand_taxonomy_v1
BioLiP2	548615	simple_inorganic_entries	29423	5.3631417296282455	comparison_ligand_taxonomy_v1
BioLiP2	548615	shared_artifact_list_entries	15494	2.824202765144956	comparison_ligand_taxonomy_v1
PLINDER	616723	monoatomic_ion_entries	0	0.0	comparison_ligand_taxonomy_v1
PLINDER	616723	simple_inorganic_entries	0	0.0	comparison_ligand_taxonomy_v1
PLINDER	616723	shared_artifact_list_entries	0	0.0	comparison_ligand_taxonomy_v1
CROWN	141261	monoatomic_ion_entries	0	0.0	comparison_ligand_taxonomy_v1
CROWN	141261	simple_inorganic_entries	0	0.0	comparison_ligand_taxonomy_v1
CROWN	141261	shared_artifact_list_entries	178	0.12600788611152405	comparison_ligand_taxonomy_v1
Ours	91860	monoatomic_ion_entries	0	0.0	comparison_ligand_taxonomy_v1
Ours	91860	simple_inorganic_entries	4028	4.384933594600479	comparison_ligand_taxonomy_v1
Ours	91860	shared_artifact_list_entries	1400	1.52405834966253	comparison_ligand_taxonomy_v1
