dataset	metric	ccd_id	entries	unique_pdb
PDBbind	simple_inorganic_entries	2PN	1	1
PDBbind	simple_inorganic_entries	3PO	1	1
PDBbind	simple_inorganic_entries	ANP	1	1
PDBbind	simple_inorganic_entries	GTP	1	1
PDBbind	simple_inorganic_entries	HSW	1	1
PDBbind	simple_inorganic_entries	P0S	1	1
PDBbind	simple_inorganic_entries	POP	1	1
PDBbind	simple_inorganic_entries	PPV	1	1
PDBbind	simple_inorganic_entries	UTP	1	1
PDBbind	shared_artifact_list_entries	BEN	20	20
PDBbind	shared_artifact_list_entries	CIT	16	16
PDBbind	shared_artifact_list_entries	IHP	11	11
PDBbind	shared_artifact_list_entries	OGA	10	10
PDBbind	shared_artifact_list_entries	BAM	8	8
PDBbind	shared_artifact_list_entries	BNZ	7	7
PDBbind	shared_artifact_list_entries	BET	6	6
PDBbind	shared_artifact_list_entries	CAQ	5	5
PDBbind	shared_artifact_list_entries	CHT	5	5
PDBbind	shared_artifact_list_entries	DAO	5	5
PDBbind	shared_artifact_list_entries	IPH	5	5
PDBbind	shared_artifact_list_entries	MYR	5	5
PDBbind	shared_artifact_list_entries	NHE	5	5
PDBbind	shared_artifact_list_entries	SPD	5	5
PDBbind	shared_artifact_list_entries	3PG	4	4
PDBbind	shared_artifact_list_entries	TLA	4	4
PDBbind	shared_artifact_list_entries	13P	3	3
PDBbind	shared_artifact_list_entries	DHB	3	3
PDBbind	shared_artifact_list_entries	DKA	3	3
PDBbind	shared_artifact_list_entries	LMR	3	3
PDBbind	shared_artifact_list_entries	MBN	3	3
PDBbind	shared_artifact_list_entries	PEU	3	3
PDBbind	shared_artifact_list_entries	PHB	3	3
PDBbind	shared_artifact_list_entries	PUT	3	3
PDBbind	shared_artifact_list_entries	SIN	3	3
PDBbind	shared_artifact_list_entries	TRS	3	3
PDBbind	shared_artifact_list_entries	BEZ	2	2
PDBbind	shared_artifact_list_entries	DEP	2	2
PDBbind	shared_artifact_list_entries	EPE	2	2
PDBbind	shared_artifact_list_entries	IHS	2	2
PDBbind	shared_artifact_list_entries	KDO	2	2
PDBbind	shared_artifact_list_entries	MAE	2	2
PDBbind	shared_artifact_list_entries	MES	2	2
PDBbind	shared_artifact_list_entries	MLA	2	2
PDBbind	shared_artifact_list_entries	TAU	2	2
PDBbind	shared_artifact_list_entries	B3P	1	1
PDBbind	shared_artifact_list_entries	CXS	1	1
PDBbind	shared_artifact_list_entries	DDQ	1	1
PDBbind	shared_artifact_list_entries	DHJ	1	1
PDBbind	shared_artifact_list_entries	DTD	1	1
PDBbind	shared_artifact_list_entries	GOL	1	1
PDBbind	shared_artifact_list_entries	HAE	1	1
PDBbind	shared_artifact_list_entries	HP6	1	1
PDBbind	shared_artifact_list_entries	ICT	1	1
PDBbind	shared_artifact_list_entries	LAC	1	1
PDBbind	shared_artifact_list_entries	LDA	1	1
PDBbind	shared_artifact_list_entries	MB3	1	1
PDBbind	shared_artifact_list_entries	MLT	1	1
PDBbind	shared_artifact_list_entries	NBN	1	1
PDBbind	shared_artifact_list_entries	PC8	1	1
HiQBind	simple_inorganic_entries	2PN	4	2
HiQBind	simple_inorganic_entries	2PO	3	2
HiQBind	simple_inorganic_entries	PPV	3	1
HiQBind	simple_inorganic_entries	2HP	1	1
HiQBind	simple_inorganic_entries	2PA	1	1
HiQBind	simple_inorganic_entries	9PI	1	1
HiQBind	simple_inorganic_entries	AZI	1	1
HiQBind	simple_inorganic_entries	FUS	1	1
HiQBind	simple_inorganic_entries	HSW	1	1
HiQBind	simple_inorganic_entries	NO3	1	1
HiQBind	simple_inorganic_entries	POP	1	1
HiQBind	shared_artifact_list_entries	PHB	21	9
HiQBind	shared_artifact_list_entries	BEZ	17	7
HiQBind	shared_artifact_list_entries	BEN	16	15
