dataset	metric	source_entry_id	pdb_id	ccd_id	canonical_isomeric_smiles	heavy_atoms	carbon_atoms	elements	review_status
PDBbind	simple_inorganic_entries	3tvl	3tvl	3PO	O=P(O)(O)OP(=O)(O)OP(=O)(O)O	13.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	3c14	3c14	POP	O=P(O)(O)OP(=O)(O)O	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	2haw	2haw	2PN	O=P(O)(O)NP(=O)(O)O	9.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	2o1c	2o1c	PPV	O=P(O)(O)OP(=O)(O)O	9.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	6pvu	6pvu	P0S	O=[P@]1(O)O[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O1	24.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	4lil	4lil	UTP	O=P(O)(O)OP(=O)(O)OP(=O)(O)O	13.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	2o4z	2o4z	HSW	NS(=O)(=O)NO	6.0	0.0	N;O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	3g3r	3g3r	ANP	O=P(O)(O)N[P@](=O)(O)OP(=O)(O)O	13.0	0.0	N;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	simple_inorganic_entries	2j7w	2j7w	GTP	O=P(O)(O)OP(=O)(O)OP(=O)(O)O	13.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3pcc	3pcc	PHB	O=C(O)c1ccc(O)cc1	10.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1bty	1bty	BEN	[H]/N=C(\N)c1ccccc1	9.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	4e3g	4e3g	PHB	O=C(O)c1ccc(O)cc1	10.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3hzm	3hzm	KDO	O=C(O)[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O1	16.0	8.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	2buv	2buv	DHB	O=C(O)c1ccc(O)c(O)c1	11.0	7.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	2z9g	2z9g	BNZ	c1ccccc1	6.0	6.0	C	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3uev	3uev	MYR	CCCCCCCCCCCCCC(=O)O	16.0	14.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	4lh2	4lh2	SIN	O=C(O)CCC(=O)O	8.0	4.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1d1p	1d1p	EPE	O=S(=O)(O)CC[N@H+]1CC[N@H+](CCO)CC1	15.0	8.0	C;N;O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	2xlc	2xlc	DEP	CCOP(:O)OCC	8.0	4.0	C;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	4i7k	4i7k	MBN	Cc1ccccc1	7.0	7.0	C	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1v2l	1v2l	BEN	[H]/N=C(\N)c1ccccc1	9.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1r9l	1r9l	BET	C[N+](C)(C)CC(=O)O	8.0	5.0	C;N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3p1d	3p1d	MB3	CN1CCCC1=O	7.0	5.0	C;N;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1bq3	1bq3	IHP	O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O	36.0	6.0	C;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3bxe	3bxe	13P	O=C(CO)COP(=O)(O)O	10.0	3.0	C;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1o4m	1o4m	MLA	O=C(O)CC(=O)O	7.0	3.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	6ikm	6ikm	SPD	[NH3+]CCCC[NH2+]CCC[NH3+]	10.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	2c4v	2c4v	CIT	O=C(O)CC(O)(CC(=O)O)C(=O)O	13.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1v2v	1v2v	BEN	[H]/N=C(\N)c1ccccc1	9.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1iih	1iih	3PG	O=C(O)[C@H](O)COP(=O)(O)O	11.0	3.0	C;O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1j14	1j14	BEN	[H]/N=C(\N)c1ccccc1	9.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	3ttn	3ttn	SPD	[NH3+]CCCC[NH2+]CCC[NH3+]	10.0	7.0	C;N	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1ai7	1ai7	IPH	Oc1ccccc1	7.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
PDBbind	shared_artifact_list_entries	1grp	1grp	ICT	O=C(O)C[C@H](C(=O)O)[C@@H](O)C(=O)O	13.0	6.0	C;O	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	1ixi:A:322:row1157	1ixi	2HP	O=P([O-])([O-])[O-]	5.0	0.0	O;P	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
HiQBind	simple_inorganic_entries	2o4z:A:300:row5378	2o4z	HSW	NS(=O)(=O)NO	6.0	0.0	N;O;S	DETERMINISTIC_AUDIT_SAMPLE_NOT_MEMBERSHIP_REVIEW
