section,property,Ours,PDBbind,HiQBind,BioLiP2,PLINDER,CROWN
Dataset scope,Total entries,91860,,,,,
Dataset scope,Unique PDB-CCD pairs,40315,,,,,
Dataset scope,Unique PDB IDs,35226,,,,,
Dataset scope,Unique UniProt IDs,9906,,,,,
Dataset scope,Unique CATH IDs,58346,,,,,
Dataset scope,Unique species,2639,,,,,
Dataset scope,Affinity annotations,False,,,,,
Ligand diversity,Unique CCD IDs,16182,,,,,
Ligand diversity,Unique Murcko scaffolds,8303,,,,,
Ligand diversity,Ion ligands,28,,,,,
Ligand diversity,Covalent ligands,0,,,,,
Ligand diversity,Artifact ligands,3526,,,,,
Structure issues,Missing bonds,,,,,,
Structure issues,Steric overlaps,0,,,,,
Structure issues,Unresolved ligand atoms,0,,,,,
Structure issues,Unresolved pocket atoms,317,,,,,
Structure issues,Non-standard pocket residues,0,,,,,
