pair_id	pdb_id	assembly_id	source_ligand_instance_id	observed_heavy_atom_count	biolip_list_match	resolved_ccd_id	ccd_name	ccd_type	formula	formal_charge	previous_terminal_route	previous_reason_code	terminal_route	reason_code	overlap_class	q_match_level	q_relevance_class	dual_source_status	dual_source_pass	is_suspicious
P3|2fr6|1|1|2fr6|1|6|J|1006|False|NH3|assembly_gen_row_000001|1	2fr6	1	2fr6|1|6|J|1006|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|2fr6|2|1|2fr6|1|6|J|1006|False|NH3|assembly_gen_row_000002|1	2fr6	2	2fr6|1|6|J|1006|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|2fr6|2|1|2fr6|1|6|J|1006|False|NH3|assembly_gen_row_000002|2	2fr6	2	2fr6|1|6|J|1006|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|2fr6|3|1|2fr6|1|6|J|1006|False|NH3|assembly_gen_row_000003|1	2fr6	3	2fr6|1|6|J|1006|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|2fr6|3|1|2fr6|1|6|J|1006|False|NH3|assembly_gen_row_000003|2	2fr6	3	2fr6|1|6|J|1006|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|3rgs|1|1|3rgs|1|3|H|502|False|NH3|assembly_gen_row_000001|1	3rgs	1	3rgs|1|3|H|502|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5k77|2|1|5k77|1|7|DA|3|False|OH|assembly_gen_row_000002|1	5k77	2	5k77|1|7|DA|3|False|OH	1	True	OH	"""HYDROXIDE ION"""	NON-POLYMER	"""H O"""	-1	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip	EXACT	EXACT_ASSEMBLY_CCD_CHAIN	RELEVANT	LIGAND_RELEVANCE_CONFIRMED	True	True
P3|5msy|1|1|5msy|1|3|F|1|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|F|1|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|G|11|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|G|11|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|H|12|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|H|12|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|I|13|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|I|13|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|J|14|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|J|14|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|K|15|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|K|15|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|1|1|5msy|1|3|M|19|False|NH3|assembly_gen_row_000001|1	5msy	1	5msy|1|3|M|19|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|2|1|5msy|1|3|O|3|False|NH3|assembly_gen_row_000002|1	5msy	2	5msy|1|3|O|3|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
P3|5msy|2|1|5msy|1|3|Q|5|False|NH3|assembly_gen_row_000002|1	5msy	2	5msy|1|3|Q|5|False|NH3	1	False	NH3	AMMONIA	NON-POLYMER	"""H3 N"""	0	inorganic_review	noncarbon_complex_or_boundary_inorganic	provisional_source_ligand	accepted_multiatom_nonmetal_not_high_frequency_biolip				NOT_SUSPICIOUS_BYPASS	True	False
