input	path	sha256	size_bytes
f4_marker	filter_04_crystal_packing_influence/database_runs/20260826_filter3_118255_strict_posebusters_01/_FROZEN.json	63926e1b287eee9ab430a45a2e270b40cc247b4139e2e53ba717fad2269c0318	628
f4_pass	filter_04_crystal_packing_influence/database_runs/20260826_filter3_118255_strict_posebusters_01/output/02_filter4_pass_pairs.tsv.gz	244193b15987b4e69d1bbf6e5bc08923ae2ab1623d1fd7cb307130cb0d2e7fa3	1676634
f5_identity	filter_05_equivalent_redocking_case/runs/20260826_filter4_91860_rmsd1A_lexquality_v2/step01/output/01_step1_pair_inventory.tsv.gz	e406d4c4ed8d400b541e4f1f5dbfba4f5cc871cfbe26ee2be3538f6f85322400	3099375
p2	processing_2_assembly_ready_structure_preparation/runs/20260826_validation_provenance_required_01/output/formal_ready_ligand_placements.parquet	085018107cce0446676d2d26a1c98d6b8040e01594163b4ce6a482914c3ee046	5954868
f2_placements	filter_2_ligand_qualification_v4/runs/20260825_dual_source_strict_01/output/02_retained_assembly_placements.tsv.gz	58dfff4c2f2ae0d2a4ea0535901f1417d9c7f7c9336a365b08f0508ccec872b0	3815032
f2_sources	filter_2_ligand_qualification_v4/runs/20260825_dual_source_strict_01/output/01_source_membership.tsv.gz	d354d4cbbdf55d176fae56058077bc4b2305a51dfc48279f529b25c39c9ffb84	18259125
pb	filter_03_ground_truth_structure_quality_database/runs/20260826_processing3_176900_strict_posebusters_02/output/posebusters_pair_evidence.parquet	80e476619e37152d63dfd7cac5f92fe9757ddb7bb229c0c5ede091939600b952	1751379
f3_v2	filter_03_ground_truth_structure_quality_v2/runs/20260814_full_01/output/filter3_pair_quality_v2	352511938c04eb24f87e9a00441300b2d46de10e8815bffc70ed4ac60cf10306	39426367
prov_summary	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/pair_protein_provenance_summary.parquet	e7590d3c3b847321b6dea32c89bb8c426911db1135d7b620cbce95d693a3d5e6	4397315
prov_chains	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/pair_receptor_chains.parquet	c2ee116ba6379b7cf197266972884bf285b7727988bfef9a9138c273a2f4bb1c	5929571
uniprot_map	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/protein_uniprot_mappings.parquet	9f8a8dda7174996efce8d54e2703cd20d0f1d3dcf645ddd3c1b9bfa6497a7045	1751297
uniprot_meta	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/protein_uniprot_reference_metadata.parquet	e9b9f151c0e2143a372b10d3388f2bb5cb14e50f19ab15a3a7dd974fcc9bd4e7	810129
source_chains	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/protein_source_chains.parquet	efe2ffae1f046ebb4430d1712f4e89a9a9df41e48d08012b47db4ce3c794c8ac	7029864
function	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/protein_function_annotations.parquet	5e8e4a95b9ace752d9e8fd87ca9eb0bfd81aa78d082da337961523b636755321	8128012
pocket	protein_provenance_annotation/runs/20260826_filter4_pass_01/output/pair_pocket_residues.parquet	9b61e225016ee0e963df321f0cfa7e0556d41a2b738b4095531f235470d69912	17625044
