benchmark_filter3_terminal_status	warning_codes	entries
FILTER3_GOOD_QUALITY	LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING	204
FILTER3_GOOD_QUALITY	LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING;POCKET_GAP_WARNING	45
FILTER3_GOOD_QUALITY	NONBINDING_POCKET_SIDECHAIN_WARNING	17
FILTER3_GOOD_QUALITY	LIGAND_OCCUPANCY_WARNING;LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING	15
FILTER3_GOOD_QUALITY	BINDING_RESIDUE_QUALITY_WARNING;LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING;POCKET_GAP_WARNING	13
FILTER3_GOOD_QUALITY	BINDING_RESIDUE_QUALITY_WARNING;LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING	13
FILTER3_GOOD_QUALITY	NONBINDING_POCKET_SIDECHAIN_WARNING;POCKET_GAP_WARNING	6
FILTER3_GOOD_QUALITY	BINDING_RESIDUE_QUALITY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING	2
FILTER3_GOOD_QUALITY	LIGAND_OCCUPANCY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING	1
FILTER3_GOOD_QUALITY	LIGAND_OCCUPANCY_WARNING;LIGAND_VALIDATION_GEOMETRY_WARNING;NONBINDING_POCKET_SIDECHAIN_WARNING;POCKET_GAP_WARNING	1
