"path","bytes","sha256","modified"
"biolip2_20260626\ligand.json","30099774","53cb73a0103b8741c84ce62ed9f11a02eba2ec37b3e5a51cc03abbb54a0af73d","2026-08-27T15:23:25.4415861+08:00"
"biolip2_20260626\PL_annotation_base_before_20260102.csv","45333276","bfaf047fdb78635b54eda2c8ddfe6f9ac7086a5cec58130f7bd9750a8dce0e36","2026-08-27T15:23:21.6579261+08:00"
"biolip2_20260626\PL_nonredund_annotation_base_before_20260102.csv","11684142","41d6d80c48d7f879eb116b7322a62631b08644f128892e2fb1c33add310657b4","2026-08-27T15:25:12.0956978+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260107.csv","279739","562e56a5761629a61625d9f49948d3a133a93c89deb7135fec7ef7d3155152f0","2026-08-27T15:23:25.8980340+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260114.csv","4294437","ba807404202bd1b3c285f7d1d5c1db981b46165260e27cf2a4f92ef7cd0c3017","2026-08-27T15:23:26.6730786+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260121.csv","1911707","0e4d655aa5fb2d7ef458bfbe0dffd0bf147788f799cd919ef8a0d2bf0d0392e7","2026-08-27T15:23:27.4376635+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260128.csv","2597206","066f9c877b74b59cc908099c7608e268a0652a4916fb46848ae46f585dc83e17","2026-08-27T15:23:28.2505754+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260204.csv","1130530","df1cecfc9908cc765db00c00ba220a7b64a2f54d88c045124c0c61cb0ec1aa07","2026-08-27T15:23:28.8932272+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260211.csv","359396","1c083ad3a1014d8e8199dd264b334843ffa8418b8801ad0fdd62cc1979fa5f87","2026-08-27T15:23:29.3849734+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260218.csv","3546924","c2d87891ed1b92564a71b12a1bc2b5eeff09a77c8ffcc507a6749853dfdf49fc","2026-08-27T15:23:30.1032337+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260225.csv","622029","599bf37e921a4617dd328ca46c17bdacab9b964446c6caddd1e9ea2d96241fb7","2026-08-27T15:23:30.6168582+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260304.csv","1858766","d3ae7151cbcee87d4be205720c3f29b67bc7769f98a827ebc9dc7baa0b67e650","2026-08-27T15:23:31.2287935+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260311.csv","3835226","4223afbd4c93ed55d333206b4bb85169f41f05a2c53011dc47da0327c910048b","2026-08-27T15:23:32.0592901+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260318.csv","1558464","d6ab4ae01d67fb79e3d72d67963956b3af6d3a74e4c5c9ef6264298002d5792d","2026-08-27T15:23:32.8043224+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260325.csv","460528","d7e157fa65394407812f57d6213472538896d65dd5f0295812bb473d937f9c23","2026-08-27T15:23:33.3114368+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260401.csv","1952173","06b1ab03cc9d5012a4a97bf91ad6dd809b180f1dfb97d3544336b88ccefa2676","2026-08-27T15:23:34.0187302+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260408.csv","814488","8a7213ab0b33e520d8af638713560900eea7c5f94a931361f65e9df6856fa5a4","2026-08-27T15:23:34.6536644+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260415.csv","1684572","31fa24181ef99e73d961795b1d47e91f87cecfbacb3e45b5551095d1dd7d936d","2026-08-27T15:23:35.3276273+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260422.csv","1095363","28d180d829eb6f86e2d11b97d2d7c44c26b69a40e013eb515c8346ef0c0e5f34","2026-08-27T15:23:35.8965995+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260429.csv","957829","28244f7b19d53989b237e5ce4cfebf891622ce55f9a1ef50330e1daab6e423dc","2026-08-27T15:23:36.5279069+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260506.csv","501217","1a348754902f6fdb2215d430a408d2a32f2a635734208628c9f8dd83f8949252","2026-08-27T15:23:37.0420642+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260513.csv","1790505","ebf65135324fb4c3c1d530142f01fff6af0b8d7cfb5c744362a61443bccd5b7f","2026-08-27T15:23:37.7516046+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260520.csv","2555367","8ff4dbb0de9072999774767574676b1c1221536c6899adb8d2e6ec292ce5af67","2026-08-27T15:23:38.5066050+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260527.csv","1754971","be93f9354608c97d18fba2143c187b6c2e44f7dc2ad4e27a3c4b905393b055e9","2026-08-27T15:23:39.1718408+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260603.csv","1196254","9b6fac950c27f6a4f3a4dbe4b1fa01f14308cdd5204b381799e7d7d3fd986c8e","2026-08-27T15:23:39.8348852+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260610.csv","1797876","f221f5715f35c40b726e090bc3d61cbb5df1d9b56bdce9dcc5e607cf1a38b58e","2026-08-27T15:23:40.5637906+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260617.csv","2616145","e526f3ff5e4cc507554418ea5406a882ce1ccc07e94e591da77a680c09a56f85","2026-08-27T15:23:41.3894353+08:00"
"biolip2_20260626\weekly\Q-BioLiP-20260624.csv","1545844","ab0561189734495987b477305eb3f13dbc714f6407170eb62c4517bab1858e5c","2026-08-27T15:23:42.0606546+08:00"
"crown_202606\CROWN_metadata.parquet","21476726","1c3cfe09241c9bd9f98c1507e655fc0b0739c66a30071c570d8c3ab4b6cadf90","2026-08-27T15:16:59.1198663+08:00"
"hiqbind_v3\hiqbind_metadata.csv","8398358","c6a4aba815c32af62c24afd49fdd1bf957f1f7911c4dbb7427ca64996ad5b652","2026-08-27T15:26:29.2126045+08:00"
"hiqbind_v3\hiqbind_sm_metadata.csv","8309849","9becf3b83457a00474ff788c681a7cea39ddb56839503aaa635598b30ebb75bf","2026-08-25T11:06:26.7317655+08:00"
"hiqbind_v3\README.md","6020","2eacb4ac03ce74c1ca6a2fa465b71c5df7520d56a8dfb2ebd4595bff953bf9cc","2026-08-27T15:26:29.7802732+08:00"
"pdbbind_v2020\PDBbind_v2020_other_PL.tar.gz","1882867637","00f12ea202d59f3753368ea56314e6c9460e353ff4616781f94f7bbf3ec782cf","2026-08-27T15:54:32.1304594+08:00"
"pdbbind_v2020\PDBbind_v2020_other_PL.tar.gz.complete.json","256","a785b8b8456d38486e5c3e85c2557ef40f18a220bb4da04932a12eb5e8e525e5","2026-08-27T15:54:34.7867192+08:00"
"pdbbind_v2020\PDBbind_v2020_plain_text_index.tar.gz","3231607","64efe7994fba1ad4a47de223dd3c0d01e0c5f09a722a7f138000ea4f74fe342e","2026-08-27T15:10:25.6917659+08:00"
"pdbbind_v2020\PDBbind_v2020_refined.tar.gz","690895072","403bd2612a7f40f67aa3b5c8c99285995320c67dc5f55507ff536f4832107e7e","2026-08-27T15:44:30.3601057+08:00"
"pdbbind_v2020\PDBbind_v2020_refined.tar.gz.complete.json","254","8a2ef60ef8491363789400f61ecf66d075b0470f2e2e1bafbe9600ce5d8d4351","2026-08-27T15:44:31.5492061+08:00"
"plinder_2024-06_v2\annotation_table.parquet","1018256581","d7ff7a087b3d336859afd5e57775fa1a4e9a23c90a7bb4ccbb6a278540ae31e9","2026-08-27T15:54:23.0312820+08:00"
"plinder_2024-06_v2\annotation_table.parquet.complete.json","256","590d282bddb6cb1e512bbe9dc434eb2f151f6ed75265540db911fa842afef428","2026-08-27T15:54:24.6594801+08:00"
"plinder_2024-06_v2\annotation_table.parquet.single_partial","3346432","17908136d2e43ed3df948e4e961a076f6a88cc4ee9434cc8abdc8979e2e48c5e","2026-08-27T15:21:22.8064530+08:00"
