dataset	metric	available_N	within_display_range_N	outside_display_range_N	x_min	x_max
PDBbind	heavy_atoms	19417	18447	970	0.0	80.0
HiQBind	heavy_atoms	31571	31544	27	0.0	80.0
BioLiP2	heavy_atoms	508993	507667	1326	0.0	80.0
PLINDER	heavy_atoms	616711	599272	17439	0.0	80.0
CROWN	heavy_atoms	141261	139930	1331	0.0	80.0
Ours	heavy_atoms	91831	91807	24	0.0	80.0
PDBbind	rotatable_bonds	19417	17943	1474	0.0	25.0
HiQBind	rotatable_bonds	31571	31474	97	0.0	25.0
BioLiP2	rotatable_bonds	508993	498416	10577	0.0	25.0
PLINDER	rotatable_bonds	616711	596131	20580	0.0	25.0
CROWN	rotatable_bonds	141261	137473	3788	0.0	25.0
Ours	rotatable_bonds	91831	91572	259	0.0	25.0
PDBbind	hba	19417	18885	532	0.0	20.0
HiQBind	hba	31571	31038	533	0.0	20.0
BioLiP2	hba	508993	506888	2105	0.0	20.0
PLINDER	hba	616711	589743	26968	0.0	20.0
CROWN	hba	141261	128858	12403	0.0	20.0
Ours	hba	91831	91660	171	0.0	20.0
PDBbind	qed	19417	19417	0	0.0	1.0
HiQBind	qed	31571	31571	0	0.0	1.0
BioLiP2	qed	508993	508993	0	0.0	1.0
PLINDER	qed	616711	616711	0	0.0	1.0
CROWN	qed	141261	141261	0	0.0	1.0
Ours	qed	91831	91831	0	0.0	1.0
PDBbind	resolution	19140	19119	21	0.5	4.0
HiQBind	resolution	31111	31077	34	0.5	4.0
BioLiP2	resolution	547144	534445	12699	0.5	4.0
PLINDER	resolution	436873	426674	10199	0.5	4.0
CROWN	resolution	141261	141261	0	0.5	4.0
Ours	resolution	91860	91860	0	0.5	4.0
PDBbind	rsr	15226	15220	6	0.0	0.5
HiQBind	rsr	28042	28036	6	0.0	0.5
BioLiP2	rsr	3427	3419	8	0.0	0.5
PLINDER	rsr	344693	337244	7449	0.0	0.5
CROWN	rsr	141261	141261	0	0.0	0.5
Ours	rsr	91860	91860	0	0.0	0.5
PDBbind	rscc	15226	15194	32	0.5	1.0
HiQBind	rscc	28042	28005	37	0.5	1.0
BioLiP2	rscc	3427	3405	22	0.5	1.0
PLINDER	rscc	344693	341510	3183	0.5	1.0
CROWN	rscc	141261	141261	0	0.5	1.0
Ours	rscc	91860	91860	0	0.5	1.0
