dataset	metric	total_N	available_N	missing_N	missing_percent
PDBbind	heavy_atoms	19443	19417	26	0.13372421951344957
PDBbind	rotatable_bonds	19443	19417	26	0.13372421951344957
PDBbind	hba	19443	19417	26	0.13372421951344957
PDBbind	qed	19443	19417	26	0.13372421951344957
PDBbind	resolution	19443	19140	303	1.5584014812528932
PDBbind	rsr	19443	15226	4217	21.689039757239108
PDBbind	rscc	19443	15226	4217	21.689039757239108
HiQBind	heavy_atoms	31572	31571	1	0.0031673634866337262
HiQBind	rotatable_bonds	31572	31571	1	0.0031673634866337262
HiQBind	hba	31572	31571	1	0.0031673634866337262
HiQBind	qed	31572	31571	1	0.0031673634866337262
HiQBind	resolution	31572	31111	461	1.4601545673381477
HiQBind	rsr	31572	28042	3530	11.180793107817053
HiQBind	rscc	31572	28042	3530	11.180793107817053
BioLiP2	heavy_atoms	548615	508993	39622	7.222186779435487
BioLiP2	rotatable_bonds	548615	508993	39622	7.222186779435487
BioLiP2	hba	548615	508993	39622	7.222186779435487
BioLiP2	qed	548615	508993	39622	7.222186779435487
BioLiP2	resolution	548615	547144	1471	0.2681297449030741
BioLiP2	rsr	548615	3427	545188	99.37533607356708
BioLiP2	rscc	548615	3427	545188	99.37533607356708
PLINDER	heavy_atoms	616723	616711	12	0.0019457681973916979
PLINDER	rotatable_bonds	616723	616711	12	0.0019457681973916979
PLINDER	hba	616723	616711	12	0.0019457681973916979
PLINDER	qed	616723	616711	12	0.0019457681973916979
PLINDER	resolution	616723	436873	179850	29.16220085840807
PLINDER	rsr	616723	344693	272030	44.10894356137196
PLINDER	rscc	616723	344693	272030	44.10894356137196
CROWN	heavy_atoms	141261	141261	0	0.0
CROWN	rotatable_bonds	141261	141261	0	0.0
CROWN	hba	141261	141261	0	0.0
CROWN	qed	141261	141261	0	0.0
CROWN	resolution	141261	141261	0	0.0
CROWN	rsr	141261	141261	0	0.0
CROWN	rscc	141261	141261	0	0.0
Ours	heavy_atoms	91860	91831	29	0.031569780100152406
Ours	rotatable_bonds	91860	91831	29	0.031569780100152406
Ours	hba	91860	91831	29	0.031569780100152406
Ours	qed	91860	91831	29	0.031569780100152406
Ours	resolution	91860	91860	0	0.0
Ours	rsr	91860	91860	0	0.0
Ours	rscc	91860	91860	0	0.0
