dataset	metric	N	mean	sd	min	q1	median	q3	max
PDBbind	heavy_atoms	19417	32.99706442807849	21.918177656400264	4.0	21.0	28.0	37.0	224.0
PDBbind	rotatable_bonds	19417	8.851933872379874	10.525890025570396	0.0	3.0	6.0	9.0	90.0
PDBbind	hba	19417	6.516557655662564	5.083556703673276	0.0	3.0	5.0	8.0	60.0
PDBbind	qed	19417	0.42380522835153805	0.24827985660801088	0.005548203833846273	0.2305026543082414	0.4270517014525322	0.622922918056146	0.9465288131375753
PDBbind	resolution	19140	2.087062173458725	0.4881664462369362	0.75	1.75	2.0	2.4	4.6
PDBbind	rsr	15226	0.09656928937344017	0.0486223362888695	0.005	0.065	0.086	0.116	0.694
PDBbind	rscc	15226	0.9193672665177985	0.07118652122635881	0.313	0.899	0.94	0.964	0.999
HiQBind	heavy_atoms	31571	26.00079186595293	10.658741648318765	3.0	19.0	25.0	32.0	120.0
HiQBind	rotatable_bonds	31571	5.348040923632447	3.9712608945432635	0.0	3.0	5.0	7.0	46.0
HiQBind	hba	31571	5.643913718285768	3.921347720480175	0.0	3.0	5.0	7.0	50.0
HiQBind	qed	31571	0.5108018814174312	0.2098452504815639	0.014324900493303133	0.3570881640133782	0.5144846960973235	0.6767123156817654	0.9473471240821013
HiQBind	resolution	31111	2.056971463145599	0.4432454930381774	0.66	1.799	2.0	2.3	7.88
HiQBind	rsr	28042	0.09451686755580914	0.047489519553747264	0.012	0.063	0.084	0.115	0.694
HiQBind	rscc	28042	0.9215244633050425	0.06900597306473592	0.155	0.901	0.941	0.965	1.0
BioLiP2	heavy_atoms	508993	29.357623778716015	19.04307842995413	0.0	14.0	27.0	43.0	200.0
BioLiP2	rotatable_bonds	508993	7.979708954740046	7.738169304243451	0.0	2.0	6.0	11.0	110.0
BioLiP2	hba	508993	6.8080130768006635	4.818864128827048	0.0	3.0	6.0	9.0	55.0
BioLiP2	qed	508993	0.32774321589983496	0.21816131603150618	0.007703256814790728	0.15741548218633872	0.29017819335208067	0.4801069286146626	0.9473471240821013
BioLiP2	resolution	547144	2.4139999310419187	0.9752341750774842	0.48	1.9	2.29947	2.8	53.0
BioLiP2	rsr	3427	0.10037233732127225	0.07268075660778037	0.008	0.062	0.087	0.121	1.558
BioLiP2	rscc	3427	0.9137411730376421	0.08750429131414111	0.11	0.892	0.939	0.969	1.0
PLINDER	heavy_atoms	616711	33.738838775374525	23.0539774275119	5.0	15.0	28.0	43.0	236.0
PLINDER	rotatable_bonds	616711	8.566274965097104	8.042263115666708	0.0	2.0	6.0	11.0	110.0
PLINDER	hba	616711	8.84986646905925	7.740939358495767	0.0	5.0	7.0	11.0	83.0
PLINDER	qed	616711	0.2948966898693576	0.19893002430606713	0.003203309848263504	0.12344187814505098	0.28079075856620234	0.3976193149239249	0.9473471240821013
PLINDER	resolution	436873	2.362451866775579	0.8947437555831589	0.64	1.87	2.20007772782	2.71	37.0
PLINDER	rsr	344693	0.18596965304096	0.11539191808177328	0.012	0.11	0.156	0.227	3.75
PLINDER	rscc	344693	0.8970260902928306	0.10178941910853187	-0.693	0.866	0.932	0.964	1.0
CROWN	heavy_atoms	141261	30.279043755884498	14.573387508851724	10.0	20.0	28.0	41.0	100.0
CROWN	rotatable_bonds	141261	7.527612008976292	6.578149310103977	0.0	4.0	6.0	9.0	82.0
CROWN	hba	141261	8.94987293024968	6.325300765689661	0.0	4.0	7.0	13.0	49.0
CROWN	qed	141261	0.38422295090454756	0.22315512658219347	0.004726595410187751	0.21982423256228026	0.37890411972091204	0.5345058970979247	0.9473471240821013
CROWN	resolution	141261	2.0653552217320796	0.4295144302744985	0.64	1.79	2.03	2.38	2.99998872297
CROWN	rsr	141261	0.0863406573718153	0.04028126782702834	0.0	0.058	0.079	0.107	0.3
CROWN	rscc	141261	0.9358814862630167	0.04761863913396423	0.8	0.909	0.949	0.973	1.0
Ours	heavy_atoms	91831	24.43834870577474	13.701015012900614	1.0	13.0	24.0	31.0	120.0
Ours	rotatable_bonds	91831	5.749409240888153	4.623469671212755	0.0	2.0	5.0	8.0	60.0
Ours	hba	91831	7.207958096938942	5.17176767882059	0.0	3.0	6.0	10.0	47.0
Ours	qed	91831	0.38756492646573504	0.22125910180955083	0.01005080136406897	0.22827979302372697	0.3579607381996773	0.53555863490679	0.9473471240821013
Ours	resolution	91860	2.0187537557152186	0.4367094218693981	0.65	1.71	1.99	2.3	3.0
Ours	rsr	91860	0.08917109732201177	0.042972142033495205	0.005	0.058	0.081	0.112	0.3
Ours	rscc	91860	0.9356694535162202	0.04756220072302238	0.8	0.909	0.949	0.973	1.0
